,carbon_dioxide
2094,3.7267289583168943
2095,3.545637403644145
2096,3.364545848971395
2097,3.1834542942986457
2098,3.0023627396258963
2099,2.8212711849531464
2100,2.640179630280397
2101,2.640029291982975
2102,2.6398789536855527
2103,2.6397286153881305
2104,2.6395782770907084
2105,2.639427938793286
2106,2.639277600495864
2107,2.639127262198442
2108,2.6389769239010197
2109,2.6388265856035975
2110,2.6386762473061753
2111,2.638525909008753
2112,2.638375570711331
2113,2.6382252324139093
2114,2.638074894116487
2115,2.637924555819065
2116,2.6377742175216428
2117,2.6376238792242206
2118,2.637473540926799
2119,2.6373232026293767
2120,2.6371728643319545
2121,2.6370225260345324
2122,2.63687218773711
2123,2.6367218494396885
2124,2.6365715111422663
2125,2.636421172844844
2126,2.636270834547422
2127,2.63612049625
2128,2.635970157952578
2129,2.635819819655156
2130,2.6356694813577337
2131,2.6355191430603115
2132,2.6353688047628894
2133,2.6352184664654676
2134,2.6350681281680455
2135,2.6349177898706233
2136,2.634767451573201
2137,2.634617113275779
2138,2.6344667749783572
2139,2.634316436680935
2140,2.634166098383513
2141,2.6340157600860907
2142,2.6338654217886686
2143,2.6337150834912464
2144,2.633564745193824
2145,2.633414406896402
2146,2.6332640685989794
2147,2.6331137303015573
2148,2.632963392004135
2149,2.632813053706713
2150,2.6326627154092908
2151,2.606336088255198
2152,2.5800094611011053
2153,2.553682833947012
2154,2.5273562067929194
2155,2.5010295796388267
2156,2.474702952484734
2157,2.448376325330641
2158,2.422049698176548
2159,2.3957230710224553
2160,2.3693964438683626
2161,2.3430698167142694
2162,2.3167431895601767
2163,2.290416562406084
2164,2.2640899352519908
2165,2.2377633080978976
2166,2.211436680943805
2167,2.185110053789712
2168,2.158783426635619
2169,2.1324567994815258
2170,2.106130172327433
2171,2.0798035451733403
2172,2.053476918019247
2173,2.0271502908651544
2174,2.0008236637110612
2175,1.9744970365569685
2176,1.9481704094028756
2177,1.9218437822487826
2178,1.8955171550946899
2179,1.869190527940597
2180,1.842863900786504
2181,1.816537273632411
2182,1.790210646478318
2183,1.7638840193242251
2184,1.7375573921701322
2185,1.7112307650160394
2186,1.6849041378619463
2187,1.6585775107078535
2188,1.6322508835537606
2189,1.6059242563996676
2190,1.5795976292455747
2191,1.5532710020914817
2192,1.5269443749373888
2193,1.500617747783296
2194,1.474291120629203
2195,1.4479644934751101
2196,1.4216378663210172
2197,1.3953112391669242
2198,1.3689846120128315
2199,1.3426579848587386
2200,1.3163313577046456
2201,1.2900047305505526
2202,1.26367810339646
2203,1.237351476242367
2204,1.211024849088274
2205,1.1846982219341813
2206,1.1583715947800883
2207,1.1320449676259954
2208,1.1057183404719024
2209,1.0793917133178097
2210,1.0530650861637167
2211,1.0267384590096238
2212,1.0004118318555308
2213,0.9740852047014379
2214,0.9477585775473449
2215,0.921431950393252
2216,0.895105323239159
2217,0.8687786960850662
2218,0.8424520689309732
2219,0.8161254417768803
2220,0.7897988146227873
2221,0.7634721874686944
2222,0.7371455603146014
2223,0.7108189331605086
2224,0.6844923060064156
2225,0.6581656788523227
2226,0.6318390516982297
2227,0.6055124245441368
2228,0.5791857973900438
2229,0.552859170235951
2230,0.526532543081858
2231,0.5002059159277651
2232,0.47387928877367225
2233,0.4475526616195793
2234,0.4212260344654864
2235,0.3948994073113935
2236,0.3685727801573006
2237,0.3422461530032077
2238,0.31591952584911476
2239,0.2895928986950219
2240,0.26326627154092896
2241,0.23693964438683607
2242,0.21061301723274317
2243,0.18428639007865028
2244,0.15795976292455738
2245,0.13163313577046448
2246,0.10530650861637159
2247,0.07897988146227869
2248,0.05265325430818579
2249,0.026326627154092896
2250,0.0
2251,0.0
2252,0.0
2253,0.0
2254,0.0
2255,0.0
2256,0.0
2257,0.0
2258,0.0
2259,0.0
2260,0.0
2261,0.0
2262,0.0
2263,0.0
2264,0.0
2265,0.0
2266,0.0
2267,0.0
2268,0.0
2269,0.0
2270,0.0
2271,0.0
2272,0.0
2273,0.0
2274,0.0
2275,0.0
2276,0.0
2277,0.0
2278,0.0
2279,0.0
2280,0.0
2281,0.0
2282,0.0
2283,0.0
2284,0.0
2285,0.0
2286,0.0
2287,0.0
2288,0.0
2289,0.0
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,0.0
2295,0.0
2296,0.0
2297,0.0
2298,0.0
2299,0.0
2300,0.0
2301,0.0
2302,0.0
2303,0.0
2304,0.0
2305,0.0
